ticket,strategy,symbol,type,volume,profit,open_price,close_price,open_time,close_time,comment,raw_magic,canonical_magic,build_id
57475802253,SMC,XAUUSD,SELL,0.02,-33.68,4169.35,4152.51,2026-08-05T13:03:40+00:00,2026-08-05T13:03:40+00:00,[sl 4152.51],4001,4001,FER3ON-FINAL-build1
57476611869,MANUAL,XAUUSD,SELL,0.03,18.36,4153.49,4159.61,2026-08-05T13:57:44+00:00,2026-08-05T13:57:44+00:00,,0,0,FER3ON-FINAL-build1
57477151173,MANUAL,XAUUSD,SELL,0.03,24.27,4162.12,4170.21,2026-08-05T14:23:13+00:00,2026-08-05T14:23:13+00:00,,0,0,FER3ON-FINAL-build1
57478411021,MICRO,XAUUSD,SELL,0.02,62.88,4166.84,4198.28,2026-08-05T15:07:17+00:00,2026-08-05T15:07:17+00:00,,5001,5001,FER3ON-FINAL-build1
57478757540,SMC,XAUUSD,SELL,0.01,34.67,4170.82,4205.49,2026-08-05T15:17:22+00:00,2026-08-05T15:17:22+00:00,,4001,4001,FER3ON-FINAL-build1
57479259580,SMC,XAUUSD,SELL,0.02,65.1,4170.82,4203.37,2026-08-05T15:31:16+00:00,2026-08-05T15:31:16+00:00,[sl 4203.37],4001,4001,FER3ON-FINAL-build1
57479777276,MANUAL,XAUUSD,SELL,0.03,-16.56,4199.14,4193.62,2026-08-05T15:49:42+00:00,2026-08-05T15:49:42+00:00,,0,0,FER3ON-FINAL-build1
57482478640,MICRO,XAUUSD,SELL,0.02,77.5,4196.9,4235.65,2026-08-05T17:20:25+00:00,2026-08-05T17:20:25+00:00,,5001,5001,FER3ON-FINAL-build1
57482478939,SMC,XAUUSD,SELL,0.01,37.17,4199.01,4236.18,2026-08-05T17:20:26+00:00,2026-08-05T17:20:26+00:00,,4001,4001,FER3ON-FINAL-build1
57484259568,SMC,XAUUSD,SELL,0.01,15.78,4236.86,4252.64,2026-08-05T18:18:07+00:00,2026-08-05T18:18:07+00:00,[sl 4252.64],4001,4001,FER3ON-FINAL-build1
57484405613,MANUAL,XAUUSD,SELL,0.02,0.4,4260.21,4260.41,2026-08-05T18:23:14+00:00,2026-08-05T18:23:14+00:00,,0,0,FER3ON-FINAL-build1
57485019062,MANUAL,XAUUSD,SELL,0.01,-6.16,4253.36,4247.2,2026-08-05T18:50:25+00:00,2026-08-05T18:50:25+00:00,,0,0,FER3ON-FINAL-build1
57485066738,MANUAL,XAUUSD,SELL,0.01,-3.27,4246.99,4243.72,2026-08-05T18:52:08+00:00,2026-08-05T18:52:08+00:00,,0,0,FER3ON-FINAL-build1
